,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,CV,PC,V,DE,GS,DP,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
262,10,116447,15,266,4,7,0.0,3.19,-0.78,6.07,True,hercules,Hércules,Hércules,Hércules Pereira do Nascimento,0,1,12,12,2,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
263,1,117930,15,266,5,6,0.0,0.5,0.0,3.45,False,lavega,Lavega,Lavega,Joaquín Lavega Colzada,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
264,7,130650,15,266,4,2,2.9,1.38,0.32,3.69,True,bernal,Bernal,Bernal,Facundo Bernal Cruz,0,2,3,5,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
265,2,140484,15,266,5,6,0.0,0.25,0.0,4.18,False,riquelme-felipe,Riquelme Felipe,R. Felipe,Riquelme Felipe Silva de Almeida,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
266,11,132071,15,266,5,2,1.3,3.95,-0.56,6.11,True,serna,Serna,Serna,Kevin Steven Serna Jaramillo,0,0,5,2,3,3,11,3,0,0,0,1,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
267,3,123788,15,266,4,6,0.0,0.83,0.0,4.63,False,lezcano,Lezcano,Lezcano,Rubén Darío Lezcano Portillo,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,True
268,12,108713,15,354,5,7,6.4,4.44,0.79,5.89,True,galeano,Galeano,Galeano,Antonio Javier Galeano Ferreira,0,1,12,6,4,4,23,2,4,0,1,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,True
269,2,88423,15,277,2,6,0.0,4.7,0.0,6.64,False,aderlan,Aderlan,Aderlan,Aderlan de Lima Silva,0,0,2,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,True
270,6,87342,15,284,3,6,-0.6,2.87,-0.48,5.31,True,kannemann,Kannemann,Kannemann,Walter Kannemann,0,2,4,7,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
271,11,89883,15,284,4,6,2.0,2.72,0.2,4.76,True,dodi,Dodi,Dodi,Douglas Moreira Fagundes,0,3,16,10,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
272,2,87009,15,284,4,6,0.0,2.45,0.0,4.64,False,nathan,Nathan,Nathan,Nathan Allan de Souza,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
273,6,89273,15,284,2,5,0.0,2.43,0.0,5.81,False,joao-pedro,João Pedro,J. Pedro,João Pedro Maturano dos Santos,0,0,7,5,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
274,2,71709,15,284,4,5,0.0,3.1,0.0,6.52,False,cuellar,Cuéllar,Cuéllar,Gustavo Leonardo Cuellar Gallego,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
275,9,84263,15,284,3,6,0.0,3.2,0.0,4.77,False,jemerson,Jemerson,Jemerson,Jemerson de Jesus Nascimento,0,3,11,14,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
276,11,89846,15,284,4,6,2.0,2.43,0.22,6.62,True,cristaldo,Cristaldo,Cristaldo,Franco Cristaldo,1,1,6,4,3,3,18,0,1,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
277,9,63289,15,284,4,6,0.7,2.05,-0.69,4.89,True,edenilson,Edenílson,Edenílson,Edenílson Andrade dos Santos,1,4,4,6,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
278,2,92237,15,284,3,5,0.0,0.6,0.0,4.75,False,rodrigo-ely,Rodrigo Ely,R. Ely,Rodrigo Ely,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
279,0,100848,15,284,2,6,0.0,0.0,0.0,7.0,False,luan-candido,Luan Cândido,L. Cândido,Luan Cândido de Almeida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
280,1,104257,15,284,2,6,0.0,3.0,0.0,5.14,False,joao-lucas,João Lucas,J. Lucas,João Lucas de Almeida Carvalho,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
281,7,108548,15,284,5,6,0.0,2.16,0.0,3.47,False,aravena,Aravena,Aravena,Alexander Ernesto Aravena Guzmán,0,1,2,2,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
282,8,104519,15,284,4,6,0.0,1.45,0.0,3.15,False,camilo,Camilo,Camilo,Camilo Reijers de Oliveira,0,0,9,10,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
283,8,91908,15,284,5,6,6.0,2.33,0.5,5.42,True,pavon,Pavón,Pavón,Cristian David Pavón,1,3,5,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
284,1,107801,15,286,3,6,0.0,1.5,0.0,2.29,False,nata,Natã,Natã,Natã Felipe de Amorim Santos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,True
285,8,109966,15,284,4,5,0.0,1.41,0.0,3.55,False,monsalve,Monsalve,Monsalve,Miguel Ángel Monsalve Gonzáles - González,1,2,3,9,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
286,0,107748,15,284,1,6,0.0,0.0,0.0,3.0,False,adriel,Adriel,Adriel,Adriel Vasconcelos Ramos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
287,5,100846,15,284,2,6,0.0,2.58,0.0,5.87,False,lucas-esteves,Lucas Esteves,L. Esteves,Lucas Esteves de Souza,0,0,7,4,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
288,9,113397,15,284,5,6,1.5,6.61,-0.2,9.77,True,cristian-olivera,Cristian Olivera,C. Olivera,Cristian Gonzalo Olivera Ibarra,0,2,16,14,5,4,17,3,0,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
289,5,118238,15,284,4,6,0.0,0.9,0.0,2.17,False,ronald,Ronald,Ronald,Ronald Cardoso Falkoski,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,True
