Unnamed: 0,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.atleta_id,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.media_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.apelido,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,DP,SG,V,FT,PS,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
282,BAH,,2.0,98517,265,5.39,7,-0.01,2.63,4,J. Lucas,7,Jean Lucas de Souza Oliveira,True,jean-lucas,6,Jean Lucas,,7.0,6.0,1.0,5.0,6.0,,1.0,1.0,,,,,,,,,,,,73.33,66.67,Casa de Apostas Arena Fonte Nova,2025-05-03 21:00:00,0,1,334014,8,263,5,265,1746316800,26,True,True
286,COR,,0.0,98720,264,4.65,7,0.0,2.27,2,Angileri,7,Fabrizio Germán Angileri - Fabricio,False,angileri,4,Angileri,,6.0,4.0,,1.0,1.0,,,,,,,,,,,,,,,20.0,40.0,Neo Química Arena,2025-05-03 18:30:00,2,4,334009,17,285,10,264,1746307800,26,True,True
291,CEA,,0.0,99032,354,4.0,6,0.0,1.63,4,Lourenço,7,João Paulo Ferreira Lourenço,False,lourenco,4,Lourenço,,3.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,20.0,46.67,Presidente Vargas (CE),2025-05-03 18:30:00,0,1,334015,16,287,12,354,1746307800,26,True,True
293,VAS,,0.0,99198,267,15.44,7,0.0,7.48,5,Vegetti,7,Pablo Vegetti,False,vegetti,5,Vegetti,1.0,2.0,7.0,1.0,3.0,4.0,3.0,1.0,1.0,,,,,,1.0,,,,,,60.0,46.67,Mané Garrincha,2025-05-04 16:00:00,1,0,334008,4,275,13,267,1746385200,26,True,True
294,VAS,,0.0,99213,267,4.59,7,0.0,1.25,2,P. Rodríguez,7,José Luis Rodríguez Bebanz,False,puma-rodriguez,2,Puma Rodríguez,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,60.0,46.67,Mané Garrincha,2025-05-04 16:00:00,1,0,334008,4,275,13,267,1746385200,26,True,True
299,CRU,,0.0,99316,283,6.45,6,0.0,0.5,5,Dinenno,7,Juan Ignacio Dinenno de Cara,False,dinenno,1,Dinenno,,,,,,1.0,,,,,,,,,,,,,,,73.33,73.33,Mineirão,2025-05-04 18:30:00,1,2,334012,1,262,2,283,1746394200,26,True,True
300,SAO,,0.0,99366,276,8.08,7,0.0,4.9,6,L. Zubeldía,7,Luis Francisco Zubeldía,False,luis-zubeldia,6,Luis Zubeldía,,,,,,,,,,,,,,1.0,,,,,,,20.0,26.67,Morumbis,2025-05-02 21:30:00,0,0,334010,18,356,14,276,1746232200,26,False,True
304,FLU,,14.5,99815,266,15.74,7,1.75,7.21,4,Arias,7,Jhon Adolfo Arias Andrade,True,arias,7,Arias,3.0,8.0,8.0,2.0,5.0,19.0,1.0,,1.0,,,,,,1.0,,,,,,6.67,66.67,Maracanã,2025-05-03 18:30:00,1,2,334007,20,292,6,266,1746307800,26,True,True
306,SAO,,0.0,99889,276,6.5,7,0.0,2.8,3,A. Franco,7,Alan Javier Franco,False,alan-franco,5,Alan Franco,,3.0,3.0,,,3.0,,1.0,1.0,,,,2.0,,,,,,,,20.0,26.67,Morumbis,2025-05-02 21:30:00,0,0,334010,18,356,14,276,1746232200,26,False,True
309,COR,,24.1,100652,264,15.3,7,4.3,6.94,5,Y. Alberto,7,Yuri Alberto Monteiro da Silva,True,yuri-alberto,7,Yuri Alberto,1.0,1.0,8.0,4.0,8.0,7.0,4.0,2.0,2.0,,,,,,,,,,,,20.0,40.0,Neo Química Arena,2025-05-03 18:30:00,2,4,334009,17,285,10,264,1746307800,26,True,True
310,RBB,,0.0,100695,280,5.0,5,0.0,0.0,5,Fernando,7,Fernando dos Santos Pedro,False,fernando,0,Fernando,,,,,,,,,,,,,,,,,,,,,66.67,46.67,Cícero de Souza Marques,2025-05-05 19:00:00,0,1,334011,9,2305,3,280,1746482400,26,True,True
311,CRU,,0.0,100742,283,8.54,5,0.0,1.55,4,M. Henrique,7,Matheus Henrique de Souza,False,matheus-henrique,2,Matheus Henrique,,2.0,3.0,,,4.0,,,1.0,,,,,,,,,,,,73.33,73.33,Mineirão,2025-05-04 18:30:00,1,2,334012,1,262,2,283,1746394200,26,True,True
