atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FD,FF,FS,G,I,A,PS,FT,SG,DE,DP,GS,V,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
0,70221,18,287,3,6,0.0,0.0,0.0,4.0,False,bruno-uvini,Bruno Uvini,B. Uvini,Bruno Uvini Bortolança,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
11,99119,18,287,5,2,0.0,1.89,0.0,5.29,False,lucas-braga,Lucas Braga,L. Braga,Lucas Braga Ribeiro,1,4,9,2,3,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
16,100969,18,287,4,7,4.9,2.53,-0.14,4.2,True,ronald-lopes,Ronald Lopes,R. Lopes,Ronald dos Santos Lopes,2,18,19,3,2,12,0,2,2,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
13,85856,18,287,4,6,0.0,1.16,0.0,2.58,False,ricardo-ryller,Ricardo Ryller,R. Ryller,Ricardo Ryller Ribeiro Lino Silva,3,13,25,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
17,104118,18,287,1,7,1.1,5.35,-0.74,8.17,True,lucas-arcanjo,Lucas Arcanjo,L. Arcanjo,Lucas Willians Assis Arcanjo,2,0,0,0,0,3,0,0,0,0,0,4,69,0,18,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
12,98720,18,264,2,6,5.7,2.63,1.02,5.15,True,angileri,Angileri,Angileri,Fabrizio Germán Angileri - Fabricio,2,12,8,1,3,3,0,1,0,0,1,2,0,0,0,0,0,0,0,0,33.33,40.0,Neo Química Arena,2025-08-03 16:00:00,1,1,334131,18,356,12,264,1754247600,26,True,False
7,117632,18,264,4,7,1.8,3.21,-1.02,14.09,True,garro,Garro,Garro,Rodrigo Garro,3,4,6,2,3,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,33.33,40.0,Neo Química Arena,2025-08-03 16:00:00,1,1,334131,18,356,12,264,1754247600,26,True,False
0,107859,18,287,1,6,0.0,0.0,0.0,2.0,False,fintelman,Fintelman,Fintelman,Alexandre Fintelman de Mello Ribeiro da Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
8,81952,18,287,4,7,0.0,3.13,0.0,4.87,False,willian-oliveira,Willian Oliveira,W. Oliveira,Willian Osmar de Oliveira Silva,3,15,12,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
16,102253,18,287,3,7,-0.3,2.49,-0.12,3.59,True,lucas-halter,Lucas Halter,L. Halter,Lucas Halter,4,13,10,1,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
8,141996,18,292,3,6,0.0,2.55,0.0,4.66,False,joao-silva,João Silva,J. Silva,João Pedro Eira Antunes da Silva,1,6,6,2,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
9,63007,18,277,4,7,20.3,5.66,2.89,17.39,True,neymar,Neymar,Neymar,Neymar da Silva Santos Júnior,2,2,14,8,6,32,3,2,0,0,1,0,0,0,0,0,0,1,0,0,20.0,46.67,Morumbis,2025-08-04 20:00:00,1,3,334133,19,286,15,277,1754348400,26,True,False
14,95357,18,292,4,7,3.2,3.0,-0.11,5.04,True,rivera,Rivera,Rivera,Christian Hernando Rivera Cuéllar,4,32,33,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
15,39148,18,282,5,7,2.1,5.93,-0.06,14.2,True,hulk,Hulk,Hulk,Givanildo Vieira de Souza,5,6,19,12,19,33,4,6,2,0,1,0,0,0,0,0,0,0,0,0,6.67,40.0,Arena MRV,2025-08-03 18:30:00,1,2,334137,6,280,10,282,1754256600,26,True,False
9,105842,18,287,3,6,0.0,4.06,-0.78,4.68,True,edu,Edu,Edu,Lucas Eduardo Ribeiro de Souza,0,9,5,1,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
12,116461,18,287,2,5,0.0,5.15,0.0,7.87,False,jamerson,Jamerson,Jamerson,Jamerson Santos de Jesus,0,20,8,5,6,7,0,1,2,0,0,2,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
11,87747,18,2305,4,6,0.0,2.25,-0.97,4.37,True,yago-felipe,Yago Felipe,Y. Felipe,Yago Felipe da Costa Rocha,1,8,7,0,3,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Maião,2025-08-02 18:30:00,2,3,334135,17,267,5,2305,1754170200,26,True,False
0,139000,18,262,5,6,0.0,0.0,0.0,2.0,False,felipe-teresa,Felipe Teresa,F. Teresa,Felipe Gabriel Cunha Teresa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,26.67,Castelão (CE),2025-08-03 18:30:00,1,1,334143,1,262,11,354,1754256600,26,True,True
9,142004,18,284,5,6,0.0,2.46,0.0,4.41,False,amuzu,Amuzu,Amuzu,Francis Amuzu,2,1,4,5,7,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,26.67,20.0,Maracanã,2025-08-02 21:00:00,0,1,334127,14,284,9,266,1754179200,26,True,True
