Unnamed: 0,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
237,1,6,0,0,0,lucas-oliveira,Lucas Oliveira,94514,Lucas da Cruz Oliveira,VAS,False,0,267,3,4,,L. Oliveira,46.67,46.67,São Januário,2025-03-30 18:30:00,1,2,333868,15,277,13,267,1743370200,26,True,True
238,1,5,0,0,0,pedro,Pedro,94583,Pedro Guilherme Abreu dos Santos,FLA,False,0,262,5,19,,Pedro,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
239,1,7,0,0,0,juninho-capixaba,Juninho Capixaba,94968,Luis Antônio da Rocha Júnior,RBB,False,0,280,2,5,,J. Capixaba,46.67,46.67,Nabi Abi Chedid,2025-03-31 20:00:00,2,2,333871,12,354,3,280,1743462000,26,True,True
241,1,6,0,0,0,gabriel-taliari,Gabriel Taliari,95131,Gabriel Pereira Taliari,JUV,False,0,286,5,4,,G. Taliari,20.0,6.67,Alfredo Jaconi,2025-03-29 18:30:00,0,2,333876,16,287,19,286,1743283800,26,True,True
245,1,6,0,0,0,igor-vinicius,Igor Vinícius,95466,Igor Vinícius de Souza,SAO,False,0,276,2,7,,I. Vinícius,6.67,26.67,Morumbis,2025-03-29 18:30:00,0,0,333870,20,292,14,276,1743283800,26,True,True
248,1,6,0,0,0,daniel-fuzato,Daniel Fuzato,95936,Daniel Cerântula Fuzato,VAS,False,0,267,1,3,,D. Fuzato,46.67,46.67,São Januário,2025-03-30 18:30:00,1,2,333868,15,277,13,267,1743370200,26,True,True
251,1,7,0,0,0,matheus-pereira,Matheus Pereira,96610,Matheus Fellipe Costa Pereira,CRU,False,0,283,4,19,,M. Pereira,66.67,73.33,Mineirão,2025-03-29 18:30:00,1,2,333872,9,2305,2,283,1743283800,26,True,True
252,1,6,0,0,0,maxime-dominguez,Maxime Dominguez,96614,Maxime Dominguez,VAS,False,0,267,4,4,,M. Dominguez,46.67,46.67,São Januário,2025-03-30 18:30:00,1,2,333868,15,277,13,267,1743370200,26,True,True
253,1,6,0,0,0,allan,Allan,96652,Allan Rodrigues de Souza,FLA,False,0,262,4,4,,Allan,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
257,1,7,0,0,0,villasanti,Villasanti,97145,Mathías Adalberto Villasanti Rolón,GRE,False,0,284,4,14,,Villasanti,60.0,53.33,Arena do Grêmio,2025-03-29 18:30:00,1,2,333873,7,282,11,284,1743283800,26,True,True
259,1,7,0,0,0,rogerio-ceni,Rogério Ceni,97341,Rogério Mücke Ceni,BAH,False,0,265,6,8,,R. Ceni,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1,1,333874,10,264,5,265,1743375600,26,True,True
264,1,7,0,0,0,murilo,Murilo,97653,Murilo Cerqueira Paim,PAL,False,0,275,3,10,,Murilo,73.33,60.0,Allianz Parque,2025-03-30 16:00:00,0,0,333869,8,263,4,275,1743361200,26,True,True
265,1,6,0,0,0,erick,Erick,97810,Erick de Arruda Serafim,SAO,False,0,276,5,5,,Erick,6.67,26.67,Morumbis,2025-03-29 18:30:00,0,0,333870,20,292,14,276,1743283800,26,True,True
266,1,7,0,0,0,leo-ortiz,Léo Ortiz,97867,Leonardo Rech Ortiz,FLA,False,0,262,3,5,,L. Ortiz,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
267,1,6,0,0,0,iago,Iago,97868,Iago Amaral Borduchi,BAH,False,0,265,2,5,,Iago,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1,1,333874,10,264,5,265,1743375600,26,True,True
270,1,6,0,0,0,erick,Erick,98022,Erick Luis Conrado de Carvalho,BAH,False,0,265,4,10,,Erick,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1,1,333874,10,264,5,265,1743375600,26,True,True
275,1,7,0,0,0,kanu,Kanu,98484,Victor Hugo Soares dos Santos,BAH,False,0,265,3,4,,Kanu,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1,1,333874,10,264,5,265,1743375600,26,True,True
