,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,DS,FC,FS,FD,FF,I,SG,CA,G,DE,GS,PC,FT,CV,A,DP,PS,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
206,0,101478,13,266,1,6,0.0,0.0,0.0,3.0,False,marcelo-pitaluga,Marcelo Pitaluga,M. Pitaluga,Marcelo de Araújo Pitaluga Filho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
207,7,100987,13,266,4,2,0.0,2.49,0.0,5.33,False,nonato,Nonato,Nonato,Gustavo Nonato Santana,11,7,8,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
208,0,82463,13,266,4,6,0.0,0.0,0.0,7.0,False,otavio,Otávio,Otávio,Otávio Henrique Passos Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
209,5,101319,13,266,2,6,0.0,5.5,0.0,8.31,False,guga,Guga,Guga,Cláudio Rodrigues Gomes,8,2,5,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
210,0,69014,13,266,3,6,0.0,0.0,0.0,5.0,False,manoel,Manoel,Manoel,Manoel Messias Silva Carvalho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
211,11,109573,13,266,4,7,0.0,3.8,0.0,7.23,False,martinelli,Martinelli,Martinelli,Matheus Martinelli Lima,12,12,15,2,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
212,8,78445,13,266,2,7,0.0,7.71,0.0,11.04,False,rene,Renê,Renê,Renê Rodrigues Martins,24,8,7,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
213,4,106918,13,266,5,6,0.0,3.55,0.0,5.35,False,paulo-baya,Paulo Baya,P. Baya,Paulo Henrique Silva Ribeiro,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
214,9,132071,13,266,5,6,0.0,4.16,0.0,7.4,False,serna,Serna,Serna,Kevin Steven Serna Jaramillo,3,2,9,2,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
215,11,113034,13,266,3,2,0.0,2.62,0.0,4.66,False,freytes,Freytes,Freytes,Juan Pablo Freytes,6,4,5,2,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
