,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FF,FS,I,SG,FD,A,G,CV,FT,PC,PS,DE,GS,V,DP,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
154,11,110818,15,356,6,6,3.48,5.97,-0.47,9.22,True,renato-paiva,Renato Paiva,R. Paiva,Renato Manuel Alves Paiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
155,0,122660,15,283,4,6,0.0,0.0,0.0,3.0,False,japa,Japa,Japa,João Wellington Gadelha Melo de Oliveira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
156,8,96652,15,262,4,6,-1.4,0.46,-0.94,1.81,True,allan,Allan,Allan,Allan Rodrigues de Souza,1,2,11,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
157,9,84816,15,262,2,7,4.7,6.11,0.47,8.77,True,varela,Varela,Varela,Guillermo Varela Olivera,0,6,2,0,3,1,7,1,2,0,0,0,1,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
158,14,86757,15,262,5,2,0.8,2.41,-0.1,7.27,True,everton,Everton,Everton,Everton Sousa Soares,0,7,7,9,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
159,13,83528,15,262,3,7,3.7,4.74,0.1,9.18,True,leo-pereira,Léo Pereira,L. Pereira,Leonardo Pereira,1,6,6,1,3,0,9,1,0,1,0,0,1,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
160,9,91473,15,262,4,5,0.0,2.89,0.0,6.34,False,erick-pulgar,Erick Pulgar,E. Pulgar,Erick Antonio Pulgar Farfán,2,12,13,0,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
161,2,114334,15,283,3,6,0.0,2.35,0.0,4.83,False,gamarra,Gamarra,Gamarra,Mateo Gamarra González,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
162,10,61987,15,262,2,5,0.0,5.05,0.0,10.75,False,alex-sandro,Alex Sandro,A. Sandro,Alex Sandro Lobo Silva,1,11,20,2,9,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
163,10,113158,15,283,5,6,6.9,1.21,1.25,4.53,True,marquinhos,Marquinhos,Marquinhos,Marcus Vinícius Oliveira Alencar,1,5,4,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
164,6,88393,15,262,2,5,0.0,7.42,0.0,10.72,False,ayrton-lucas,Ayrton Lucas,A. Lucas,Ayrton Lucas Dantas de Medeiros,1,7,5,1,3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
165,0,105047,15,283,3,5,0.0,0.0,0.0,7.0,False,joao-marcelo,João Marcelo,J. Marcelo,João Marcelo Messias Ferreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
166,4,118775,15,283,5,6,0.0,0.3,0.0,3.8,False,lautaro-diaz,Lautaro Díaz,L. Díaz,Lautaro Ariel Díaz,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.67,73.33,Mineirão,2025-07-20 16:00:00,0,4,334032,18,286,1,283,1753038000,26,True,False
167,10,115239,15,262,2,7,0.0,8.1,0.0,12.45,False,wesley,Wesley,Wesley,Wesley Vinícius França Lima,3,22,14,3,21,1,6,2,2,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
168,0,111690,15,262,1,6,0.0,0.0,0.0,5.0,False,matheus-cunha,Matheus Cunha,M. Cunha,Matheus Cunha Queiroz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
169,8,109096,15,262,5,5,0.0,3.41,0.0,6.37,False,plata,Plata,Plata,Gonzalo Jordy Plata Jiménez,0,9,6,4,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
170,14,99552,15,262,1,7,6.3,6.9,0.58,10.23,True,rossi,Rossi,Rossi,Agustín Daniel Rossi,1,0,0,0,2,0,10,0,0,0,0,0,0,0,29,5,0,2,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
171,0,122318,15,262,1,6,0.0,0.0,0.0,3.0,False,dyogo-alves,Dyogo Alves,D. Alves,Francisco Dyogo Bento Alves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
