atletas.atleta_id,previsao_pontos,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
97341,6.05868999999998,15,7,,0.0,5.47,rogerio-ceni,Rogério Ceni,Rogério Mücke Ceni,,False,13,265,6,9.08,,R. Ceni,80.0,0.0,Castelão (CE),2025-07-19 16:00:00,,,334037,4,265,19,356,1752951600,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87225,6.0374399999999735,15,7,,-1.01,5.04,pedro-henrique,Pedro Henrique,Pedro Henrique Ribeiro Gonçalves,,True,13,280,3,8.34,,P. Henrique,66.67,20.0,Barradão,2025-07-20 16:00:00,,,334034,3,280,17,287,1753038000,26,True,True,1.0,2.0,18.0,8.0,1.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
78450,6.006529999999963,15,7,,0.0,4.78,claudio-tencati,Cláudio Tencati,Cláudio Tencati,,False,4,286,6,8.05,,C. Tencati,26.67,86.67,Mineirão,2025-07-20 16:00:00,,,334032,18,286,1,283,1753038000,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102950,6.00184999999998,15,7,,1.3,5.07,facundo-torres,Facundo Torres,Facundo Daniel Torres Pérez,,True,10,275,5,11.36,,F. Torres,53.33,46.67,Allianz Parque,2025-07-20 17:30:00,,,334029,8,282,5,275,1753043400,26,True,False,1.0,1.0,8.0,8.0,3.0,2.0,10.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68811,5.997829999999987,15,7,,-1.48,2.0,oscar,Oscar,Oscar dos Santos Emboaba Júnior,,True,5,276,4,12.34,,Oscar,40.0,6.67,Morumbis,2025-07-19 21:00:00,,,334030,9,264,16,276,1752969600,26,True,False,0.0,1.0,5.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99198,5.983419999999979,15,7,,0.0,7.03,vegetti,Vegetti,Pablo Vegetti,,False,11,267,5,14.7,,Vegetti,46.67,40.0,São Januário,2025-07-19 17:30:00,,,334028,12,284,15,267,1752957000,26,True,False,1.0,1.0,3.0,16.0,2.0,13.0,10.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91639,5.955719999999974,15,7,,0.0,4.86,igor-carius,Igor Cariús,Igor Aquino da Silva,,False,9,292,2,7.78,,I. Cariús,73.33,6.67,Ilha do Retiro,2025-07-20 17:30:00,,,334039,6,263,20,292,1753043400,26,True,False,0.0,1.0,20.0,8.0,3.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
92696,5.923539999999964,15,7,,-0.35,5.64,renato-kayzer,Renato Kayzer,Renato Kayzer de Souza,,True,7,287,5,9.39,,R. Kayzer,66.67,20.0,Barradão,2025-07-20 16:00:00,,,334034,3,280,17,287,1753038000,26,True,False,0.0,0.0,4.0,8.0,3.0,4.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103912,5.90446999999997,15,7,,1.09,4.59,hernan-crespo,Hernán Crespo,Hernán Jorge Crespo,,True,2,276,6,9.21,,H. Crespo,40.0,6.67,Morumbis,2025-07-19 21:00:00,,,334030,9,264,16,276,1752969600,26,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105811,5.841739999999983,15,7,,0.0,5.53,wesley,Wesley,Wesley Ribeiro Silva,,False,11,285,5,11.71,,Wesley,40.0,33.33,Beira-Rio,2025-07-20 11:00:00,,,334033,10,354,14,285,1753020000,26,True,False,2.0,1.0,19.0,14.0,5.0,8.0,25.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
